"Misja", "Start", "Długość", "Załoga", "Uwagi"
"Woschod 1","1964-10-12","1d 0h 17m 3s", "Vladimir Komarov, Konstantin Feoktistov, Boris Yegorov", "pierwsza wieloosobowa załoga"
"Woschod 2","1965-03-18","1d 2h 2m 17s", "Pavel Belyayev, Alexey Leonov", "Pierwszy spacer kosmiczny"
