"age_at_death","birth_date","died","eva_count","eva_duration","fai_flight_count","fai_flight_duration","flown","name","nationality","non_fai_flight_count","non_fai_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1976-04-09","","0","","0","","False","Serena Maria Auñón-Chancellor","American","0","","NASA Group 20","0","","Active"
"","1977-06-27","","0","","0","","False","Nicole Victoria Mannnee: Aunapu","American","0","","NASA Group 21","0","","Active"
"","1956-01-01","","10","1d 17h 59m","3","747d 14h 14m 9s","False","Sergei Vasilyevich Avdeyev","Russian","0","","Energia Engineer Group 9","0","","Retired"
"","1967-01-01","","0","","0","","False","Mukhtar Rabatovich Aymakhanov","Kazakh","0","","Kazakhstan Group","0","","Active"
"54.9","1948-10-28","2003-10-02","0","","0","","False","Valeri Vasiliyevich Baberdin","Russian","0","","Journalist Group","0","","Deceased"
"","1959-04-14","","0","","0","","False","Martin Babiak","Slovak","0","","International Group","0","","Inactive"
"","1969-04-21","","0","","0","","False","Andrei Nikolayevich Babkin","Russian","0","","Energia Engineer Group 17","0","","Active"
"69.7","1942-01-23","2011-09-20","0","","0","","False","Ivan Ivanovich Bachurin","Russian","0","","Buran Group 1","0","","Deceased"
"","1952-02-22","","0","","2","14d 1h 53m 10s","False","James Philip Bagian""Jim""","American","0","","NASA Group 9","0","","Retired"
"","1953-10-27","","0","","4","40d 4h 59m 8s","False","Michael Allen Baker""Mike""","American","0","","NASA Group 11","0","","Inactive"
"","1953-07-30","","2","10h 47m","1","179d 1h 17m 57s","False","Aleksandr Nikolayevich Balandin","Russian","0","","Energia Engineer Group 5","0","","Retired"
"","1959-04-16","","2","5h 6m","2","211d 11h 46m 18s","False","Michael Reed Barratt","American","0","","NASA Group 18","0","","Active"
"","1950-12-26","","0","","0","","False","Barbara McConnell Barrett","American","0","","","0","","Inactive"
"","1953-12-30","","4","1d 1h 49m","3","30d 12h 26m 26s","False","Daniel Thomas Barry","American","0","","NASA Group 14","0","","Retired"
"","1944-11-17","","0","","1","7d 22h 45m 26s","False","John David Francis Bartoe","American","0","","","0","","Retired"
"","1943-06-02","","0","","0","","False","Cristiano Batalli-Cosmovici","Italian","0","","Italian Space Agency Group","0","","Retired"
"","1949-06-12","","0","","2","19d 17h 45m 41s","False","Yuri Michaylovich Baturin","Russian","0","","Air Force Group 12 Supplemental","0","","Retired"
"","1946-03-06","","0","","1","7d 1h 38m 52s","False","Patrick Pierre Roger Baudry","French","0","","CNES Group 1","0","","Retired"
"","1932-03-15","","4","10h 35m","2","69d 15h 45m 28s","False","Alan LaVerne Bean""Al""","American","0","","NASA Group 3","0","","Retired"
"","1970-07-28","","6","1d 13h 33m","2","29d 12h 18m 50s","False","Robert Louis Behnken""Bob""","American","0","","NASA Group 18","0","","Active"
"","1964-05-21","","0","","1","7d 21h 56m 29s","False","Ivan Bella","Slovak","0","","International Group","0","","Retired"
"64.9","1939-10-26","2004-09-20","0","","0","","False","Vladimir Mikhailovich Beloborodov","Russian","0","","Air Force Group 4","0","","Deceased"
"67.9","1930-07-24","1998-06-27","0","","0","","False","Boris Nikolayevich Belousov","Russian","0","","Air Force Group 3","0","","Deceased"
"44.5","1925-06-26","1970-01-10","0","","1","1d 2h 2m 17s","False","Pavel Ivanovich Belyayev","Russian","0","","Air Force Group 1","0","","Deceased"
"48.8","1924-08-04","1973-06-03","0","","0","","False","Vladimir Nikolaevich Benderov","Russian","0","","Voskhod Group","0","","Deceased"
"74.2","1921-04-15","1995-06-30","0","","1","3d 22h 50m 45s","False","Georgi Timofeyevich Beregovoi","Russian","0","","Air Force Group 2 Supplemental","0","","Deceased"
"72.4","1942-04-11","2014-09-20","1","2h 33m","1","211d 9h 4m 31s","False","Anatoli Nikolayevich Berezovoi","Russian","0","","Air Force Group 5","0","","Deceased"
"","1932-03-24","","0","","1","7d 8m 46s","False","Lodewijk   van den Berg","American","0","","","0","","Retired"
"","1933-10-17","","0","","1","6d 3h 42s","False","William  Alison Anders"" Bill""","American","0","","NASA Group 3","0","","Retired"
"","1953","","0","","1","24m","False","Brian Binnie","American","0","","SpaceShipOne","0","","Active"
"","1942-08-26","","0","","5","161d 2h 47m 21s","False","John Elmer Blaha","American","0","","NASA Group 9","0","","Retired"
"","1978-08-17","","0","","0","","False","Oleg Vladimirovich Blinov","Russian","0","","Air Force Group 16","0","","Retired"
"","1959-03-16","","0","","3","32d 11h 52s","False","Michael John Bloomfield","American","0","","NASA Group 15","0","","Retired"
"","1937-12-23","","0","","3","16d 2h 3m 43s","False","Karol Joseph Bobko""Bo""","American","0","","USAF MOL Group 2","0","","Retired"
"","1964-10-01","","0","","2","28d 15h 34m 17s","False","Eric Allen Boe","American","0","","NASA Group 18","0","","Active"
"","1945-12-04","","0","","1","8d 1h 14m 44s","False","Roberta Lynn Bondar","Canadian","0","","CSA Group 1","0","","Resigned"
"24.1","1937-02-16","1961-03-23","0","","0","","False","Valentin Vasilyevich Bondarenko","Russian","0","","Air Force Group 1","0","","Deceased"
"","1957-05-30","","0","","0","","False","Michael Warren Booen","American","0","","MSE Group 2","0","","Retired"
"","1964-04-17","","0","","2","337d 8h 56m 10s","False","Andrei  Ivanovich Borisenko","Russian","0","","Energia Engineer Group 15","0","","Active"
"","1947-08-04","","0","","0","","False","Alexi Sergeyevich Borodai","Ukrainian","0","","Buran Group 1","0","","Retired"
"","1953-03-03","","0","","0","","False","Aleksandr Viktorovich Borodin","Russian","0","","IMBP Group 2","0","","Retired"
"","1964-02-13","","7","1d 23h 18m","3","40d 10h 2m 19s","False","Stephen Gerald Bowen","American","0","","NASA Group 18","0","","Active"
"","1956-11-14","","2","13h 17m","5","211d 14h 12m 49s","False","Kenneth Duane Bowersox""Ken""","American","0","","NASA Group 12","0","","Retired"
"","1931-05-09","","0","","4","31d 2h 3m 53s","False","Vance DeVoe Brand","American","0","","NASA Group 5","0","","Retired"
"","1943-01-17","","0","","4","32d 21h 5m 49s","False","Daniel Charles Brandenstein""Dan""","American","0","","NASA Group 8","0","","Retired"
"","1967-09-11","","5","1d 8h","2","153d 12h 13m 1s","False","Randolph James Bresnik""Randy""","American","0","","NASA Group 19","0","","Active"
"49.7","1919","1968-09-29","0","","0","","False","William Barton Bridgeman""Bill""","American","0","","Man In Space Soonest","0","","Deceased"
"","1960-08-14","","0","","0","","False","Sarah Brightman","British","0","","","0","",""
"46.8","1956-04-16","2003-02-01","0","","1","15d 22h 20m 22s","False","David McDowell Brown","American","0","","NASA Group 16","0","","Deceased"
"","1951-11-18","","0","","2","10d 9h 27m 46s","False","Mark Neil Brown","American","0","","NASA Group 10","0","","Retired"
"","1955-05-04","","0","","0","","False","Renate Luise Bruemmer","Swiss","0","","1987 German Group","0","","Retired"
"","1966","","0","","1","2d 20h 27m 35s","False","Liu   Bu-ming","Chinese","0","","Group 1","0","","Active"
"","1945-06-20","","0","","4","20d 10h 24m 44s","False","James Frederick Buchli""Jim""","American","0","","NASA Group 8","0","","Retired"
"","1953-04-29","","9","1d 22h 1m","3","444d 1h 26m 1s","False","Nikolai Mikhailovich Budarin","Russian","0","","Energia Engineer Group 10","0","","Retired"
"","1933-01-18","","0","","0","","False","Vladimir Yevgrafevich Bugrov","Russian","0","","Energia Engineer Group 1","0","","Retired"
"","1936-02-26","","0","","0","","False","Eduard Ivanovich Buinovski","Russian","0","","Air Force Group 2","0","","Retired"
"74.1","1934-09-25","2008-11-08","0","","0","","False","John Sumter Bull","American","0","","NASA Group 5","0","","Deceased"
"","1961-07-27","","1","7h 11m","3","188d 21h 49m 46s","False","Daniel Christopher Burbank","American","0","","NASA Group 16","0","","Active"
"","1932-08-27","","0","","0","","False","Mikhail Nikolayevich Burdayev","Russian","0","","Air Force Group 4","0","","Retired"
"","1957-07-25","","3","17h 49m","4","226d 22h 14m 50s","False","Daniel Wheeler Bursch""Dan""","American","0","","NASA Group 13","0","","Retired"
"","1934-08-02","","0","","3","20d 17h 49m 21s","False","Valeri Fyodorovich Bykovsky","Russian","0","","Air Force Group 1","0","","Retired"
"","1949-01-23","","0","","4","37d 22h 42m 46s","False","Robert Donald Cabana""Bob""","American","0","","NASA Group 11","0","","Inactive"
"","1959-04-24","","0","","0","","False","Yvonne Darlene Cagle","American","0","","NASA Group 16","0","","Inactive"
"51.3","1958-06-12","2009-10-03","0","","0","","False","Fernando Calderio""Frank""","American","0","","NASA Group 16","0","","Deceased"
"","1969-08-14","","3","22h 49m","2","188d 19h 15m 16s","False","Tracy  Ellen Caldwell-Dysonnee:  Caldwell","American","0","","NASA Group 17","0","","Active"
"","1952-05-08","","0","","1","13d 21h 32m 22s","False","Charles Joseph Camarda","American","0","","NASA Group 16","0","","Inactive"
"","1949-11-29","","0","","3","23d 10h 11m 53s","False","Kenneth Donald Cameron","American","0","","NASA Group 10","0","","Retired"
"","","","0","","0","","False","Trained for the MOL until the program was cancelled.","","0","","","0","",""
"","1963-05-10","","0","","1","12d 18h 38m 4s","False","Lisa Marie Nowaknee: Caputo","American","0","","NASA Group 16","0","","Retired"
"","1988","","0","","0","","False","Zena Cardman","American","0","","NASA Group 22","0","",""
"88.4","1925-05-01","2013-10-10","0","","1","4h 56m 5s","False","Malcom Scott  Carpenter","American","0","","NASA Group 1","0","","Deceased"
"","1932-08-22","","3","15h 58m","1","84d 1h 15m 31s","False","Gerald Paul  Carr""Gerry""","American","0","","NASA Group 5","0","","Retired"
"","1943-07-09","","0","","4","34d 9h 52m 40s","False","John Howard Casper","American","0","","NASA Group 10","0","","Inactive"
"","1973-07-18","","0","","0","","False","Josh Aaron Cassada","American","0","","NASA Group 21","0","","Active"
"","1955-07-21","","0","","0","","False","Frank James Casserino","American","0","","MSE Group 1","0","","Retired"
"","1970-01-04","","6","1d 7h 14m","2","181d 22h 59m 38s","False","Christopher J. Cassidy","American","0","","NASA Group 19","0","","Active"
"","1948-11-05","","0","","1","6d 2h 3m 51s","False","Robert Joseph Cenker","American","0","","","0","","Retired"
"82.8","1934-03-14","2017-01-16","7","1d 1h 29m","3","23d 14h 16m 12s","False","Eugene Andrew Cernan""Gene""","American","0","","NASA Group 3","0","","Deceased"
"31.9","1935-02-15","1967-01-27","0","","0","","False","Roger Bruce Chaffee","American","0","","NASA Group 3","0","","Deceased"
"","1962-08-06","","2","13h 43m","2","198d 18h 2m 42s","False","Gregory Errol Chamitoff","American","0","","NASA Group 17","0","","Inactive"
